Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 3.873226e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 450s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011346 | lrm: 1.00 | dt: 9175ms | tok/sec: 28,570 | mfu: 1.1% | epoch: 1 | remaining: 450s    
step 00001 (0.0%) | loss: 8.845337 | lrm: 1.00 | dt: 243ms | tok/sec: 1,078,260 | mfu: 42.2% | epoch: 1 | remaining: 450s    
step 00002 (0.0%) | loss: 8.439029 | lrm: 1.00 | dt: 246ms | tok/sec: 1,064,173 | mfu: 41.7% | epoch: 1 | remaining: 450s    
step 00003 (0.0%) | loss: 7.969081 | lrm: 1.00 | dt: 246ms | tok/sec: 1,066,416 | mfu: 41.7% | epoch: 1 | remaining: 450s    
step 00004 (0.0%) | loss: 7.586236 | lrm: 1.00 | dt: 265ms | tok/sec: 988,379 | mfu: 38.7% | epoch: 1 | remaining: 450s    
step 00005 (0.0%) | loss: 7.255635 | lrm: 1.00 | dt: 257ms | tok/sec: 1,021,205 | mfu: 40.0% | epoch: 1 | remaining: 450s    
step 00006 (0.0%) | loss: 7.005820 | lrm: 1.00 | dt: 247ms | tok/sec: 1,060,463 | mfu: 41.5% | epoch: 1 | remaining: 450s    
step 00007 (0.0%) | loss: 6.803768 | lrm: 1.00 | dt: 247ms | tok/sec: 1,062,047 | mfu: 41.6% | epoch: 1 | remaining: 450s    
step 00008 (0.0%) | loss: 6.632703 | lrm: 1.00 | dt: 263ms | tok/sec: 994,864 | mfu: 38.9% | epoch: 1 | remaining: 450s    
step 00009 (0.0%) | loss: 6.487919 | lrm: 1.00 | dt: 255ms | tok/sec: 1,029,976 | mfu: 40.3% | epoch: 1 | remaining: 450s    
step 00010 (0.0%) | loss: 6.368013 | lrm: 1.00 | dt: 249ms | tok/sec: 1,054,875 | mfu: 41.3% | epoch: 1 | remaining: 450s    
step 00011 (0.0%) | loss: 6.262011 | lrm: 1.00 | dt: 249ms | tok/sec: 1,053,999 | mfu: 41.3% | epoch: 1 | remaining: 450s    
step 00012 (0.1%) | loss: 6.166639 | lrm: 1.00 | dt: 258ms | tok/sec: 1,014,906 | mfu: 39.7% | epoch: 1 | remaining: 449s    
step 00013 (0.1%) | loss: 6.086058 | lrm: 1.00 | dt: 258ms | tok/sec: 1,017,421 | mfu: 39.8% | epoch: 1 | remaining: 449s    
step 00014 (0.2%) | loss: 6.014618 | lrm: 1.00 | dt: 251ms | tok/sec: 1,046,456 | mfu: 41.0% | epoch: 1 | remaining: 449s    
step 00015 (0.2%) | loss: 5.948744 | lrm: 1.00 | dt: 251ms | tok/sec: 1,045,819 | mfu: 40.9% | epoch: 1 | remaining: 449s    
step 00016 (0.3%) | loss: 5.890198 | lrm: 1.00 | dt: 256ms | tok/sec: 1,023,529 | mfu: 40.1% | epoch: 1 | remaining: 448s    
step 00017 (0.3%) | loss: 5.833552 | lrm: 1.00 | dt: 255ms | tok/sec: 1,028,654 | mfu: 40.3% | epoch: 1 | remaining: 448s    
step 00018 (0.4%) | loss: 5.783614 | lrm: 1.00 | dt: 251ms | tok/sec: 1,045,991 | mfu: 40.9% | epoch: 1 | remaining: 448s    
step 00019 (0.5%) | loss: 5.736458 | lrm: 1.00 | dt: 251ms | tok/sec: 1,043,652 | mfu: 40.9% | epoch: 1 | remaining: 448s    
step 00020 (0.5%) | loss: 5.691596 | lrm: 1.00 | dt: 256ms | tok/sec: 1,022,018 | mfu: 40.0% | epoch: 1 | remaining: 447s    
step 00021 (0.6%) | loss: 5.650712 | lrm: 1.00 | dt: 254ms | tok/sec: 1,030,832 | mfu: 40.4% | epoch: 1 | remaining: 447s    
step 00022 (0.6%) | loss: 5.614157 | lrm: 1.00 | dt: 249ms | tok/sec: 1,051,728 | mfu: 41.2% | epoch: 1 | remaining: 447s    
step 00023 (0.7%) | loss: 5.578370 | lrm: 1.00 | dt: 253ms | tok/sec: 1,037,232 | mfu: 40.6% | epoch: 1 | remaining: 447s    
step 00024 (0.7%) | loss: 5.544292 | lrm: 1.00 | dt: 255ms | tok/sec: 1,026,025 | mfu: 40.2% | epoch: 1 | remaining: 446s    
step 00025 (0.8%) | loss: 5.509759 | lrm: 1.00 | dt: 255ms | tok/sec: 1,030,032 | mfu: 40.3% | epoch: 1 | remaining: 446s    
step 00026 (0.8%) | loss: 5.475550 | lrm: 1.00 | dt: 248ms | tok/sec: 1,055,660 | mfu: 41.3% | epoch: 1 | remaining: 446s    
step 00027 (0.9%) | loss: 5.442360 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,691 | mfu: 40.7% | epoch: 1 | remaining: 446s    
step 00028 (1.0%) | loss: 5.413021 | lrm: 1.00 | dt: 256ms | tok/sec: 1,023,186 | mfu: 40.1% | epoch: 1 | remaining: 445s    
step 00029 (1.0%) | loss: 5.383790 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,095 | mfu: 40.4% | epoch: 1 | remaining: 445s    
step 00030 (1.1%) | loss: 5.351356 | lrm: 1.00 | dt: 253ms | tok/sec: 1,035,997 | mfu: 40.6% | epoch: 1 | remaining: 445s    
step 00031 (1.1%) | loss: 5.322417 | lrm: 1.00 | dt: 256ms | tok/sec: 1,025,776 | mfu: 40.2% | epoch: 1 | remaining: 445s    
step 00032 (1.2%) | loss: 5.294249 | lrm: 1.00 | dt: 253ms | tok/sec: 1,035,953 | mfu: 40.6% | epoch: 1 | remaining: 444s    
step 00033 (1.2%) | loss: 5.266334 | lrm: 1.00 | dt: 255ms | tok/sec: 1,028,565 | mfu: 40.3% | epoch: 1 | remaining: 444s    
step 00034 (1.3%) | loss: 5.237430 | lrm: 1.00 | dt: 250ms | tok/sec: 1,047,957 | mfu: 41.0% | epoch: 1 | remaining: 444s    
step 00035 (1.4%) | loss: 5.208449 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,532 | mfu: 40.4% | epoch: 1 | remaining: 444s    
step 00036 (1.4%) | loss: 5.180343 | lrm: 1.00 | dt: 254ms | tok/sec: 1,033,991 | mfu: 40.5% | epoch: 1 | remaining: 443s    
step 00037 (1.5%) | loss: 5.153769 | lrm: 1.00 | dt: 252ms | tok/sec: 1,038,480 | mfu: 40.6% | epoch: 1 | remaining: 443s    
step 00038 (1.5%) | loss: 5.125796 | lrm: 1.00 | dt: 253ms | tok/sec: 1,037,633 | mfu: 40.6% | epoch: 1 | remaining: 443s    
step 00039 (1.6%) | loss: 5.097934 | lrm: 1.00 | dt: 255ms | tok/sec: 1,028,329 | mfu: 40.3% | epoch: 1 | remaining: 443s    
step 00040 (1.6%) | loss: 5.073366 | lrm: 1.00 | dt: 254ms | tok/sec: 1,031,385 | mfu: 40.4% | epoch: 1 | remaining: 442s    
step 00041 (1.7%) | loss: 5.044889 | lrm: 1.00 | dt: 252ms | tok/sec: 1,040,762 | mfu: 40.7% | epoch: 1 | remaining: 442s    
step 00042 (1.7%) | loss: 5.019864 | lrm: 1.00 | dt: 253ms | tok/sec: 1,037,959 | mfu: 40.6% | epoch: 1 | remaining: 442s    
step 00043 (1.8%) | loss: 4.990706 | lrm: 1.00 | dt: 254ms | tok/sec: 1,033,428 | mfu: 40.5% | epoch: 1 | remaining: 442s    
step 00044 (1.9%) | loss: 4.964292 | lrm: 1.00 | dt: 251ms | tok/sec: 1,043,304 | mfu: 40.8% | epoch: 1 | remaining: 441s    
step 00045 (1.9%) | loss: 4.939717 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,854 | mfu: 40.4% | epoch: 1 | remaining: 441s    
step 00046 (2.0%) | loss: 4.912924 | lrm: 1.00 | dt: 253ms | tok/sec: 1,035,898 | mfu: 40.5% | epoch: 1 | remaining: 441s    
step 00047 (2.0%) | loss: 4.884833 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,395 | mfu: 40.4% | epoch: 1 | remaining: 441s    
step 00048 (2.1%) | loss: 4.858193 | lrm: 1.00 | dt: 256ms | tok/sec: 1,024,149 | mfu: 40.1% | epoch: 1 | remaining: 440s    
step 00049 (2.1%) | loss: 4.829460 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,871 | mfu: 40.7% | epoch: 1 | remaining: 440s    
step 00050 (2.2%) | loss: 4.808294 | lrm: 1.00 | dt: 251ms | tok/sec: 1,044,812 | mfu: 40.9% | epoch: 1 | remaining: 440s    
step 00051 (2.3%) | loss: 4.781985 | lrm: 1.00 | dt: 254ms | tok/sec: 1,033,465 | mfu: 40.5% | epoch: 1 | remaining: 440s    
step 00052 (2.3%) | loss: 4.760134 | lrm: 1.00 | dt: 255ms | tok/sec: 1,027,416 | mfu: 40.2% | epoch: 1 | remaining: 439s    
step 00053 (2.4%) | loss: 4.737581 | lrm: 1.00 | dt: 255ms | tok/sec: 1,029,059 | mfu: 40.3% | epoch: 1 | remaining: 439s    
step 00054 (2.4%) | loss: 4.708835 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,863 | mfu: 40.4% | epoch: 1 | remaining: 439s    
step 00055 (2.5%) | loss: 4.685023 | lrm: 1.00 | dt: 254ms | tok/sec: 1,034,049 | mfu: 40.5% | epoch: 1 | remaining: 439s    
step 00056 (2.5%) | loss: 4.663039 | lrm: 1.00 | dt: 253ms | tok/sec: 1,036,222 | mfu: 40.6% | epoch: 1 | remaining: 438s    
step 00057 (2.6%) | loss: 4.641782 | lrm: 1.00 | dt: 252ms | tok/sec: 1,038,231 | mfu: 40.6% | epoch: 1 | remaining: 438s    
step 00058 (2.6%) | loss: 4.619662 | lrm: 1.00 | dt: 252ms | tok/sec: 1,038,589 | mfu: 40.7% | epoch: 1 | remaining: 438s    
step 00059 (2.7%) | loss: 4.597038 | lrm: 1.00 | dt: 252ms | tok/sec: 1,038,969 | mfu: 40.7% | epoch: 1 | remaining: 438s    
step 00060 (2.8%) | loss: 4.577068 | lrm: 1.00 | dt: 256ms | tok/sec: 1,022,471 | mfu: 40.0% | epoch: 1 | remaining: 437s    
step 00061 (2.8%) | loss: 4.552485 | lrm: 1.00 | dt: 253ms | tok/sec: 1,035,260 | mfu: 40.5% | epoch: 1 | remaining: 437s    
step 00062 (2.9%) | loss: 4.529111 | lrm: 1.00 | dt: 253ms | tok/sec: 1,035,846 | mfu: 40.5% | epoch: 1 | remaining: 437s    
step 00063 (2.9%) | loss: 4.505040 | lrm: 1.00 | dt: 254ms | tok/sec: 1,030,417 | mfu: 40.3% | epoch: 1 | remaining: 437s    
step 00064 (3.0%) | loss: 4.481883 | lrm: 1.00 | dt: 254ms | tok/sec: 1,030,100 | mfu: 40.3% | epoch: 1 | remaining: 436s    
step 00065 (3.0%) | loss: 4.457305 | lrm: 1.00 | dt: 251ms | tok/sec: 1,043,611 | mfu: 40.9% | epoch: 1 | remaining: 436s    
step 00066 (3.1%) | loss: 4.437278 | lrm: 1.00 | dt: 252ms | tok/sec: 1,038,404 | mfu: 40.6% | epoch: 1 | remaining: 436s    
step 00067 (3.2%) | loss: 4.417782 | lrm: 1.00 | dt: 255ms | tok/sec: 1,027,293 | mfu: 40.2% | epoch: 1 | remaining: 436s    
step 00068 (3.2%) | loss: 4.395051 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,992 | mfu: 40.4% | epoch: 1 | remaining: 435s    
step 00069 (3.3%) | loss: 4.371034 | lrm: 1.00 | dt: 253ms | tok/sec: 1,035,463 | mfu: 40.5% | epoch: 1 | remaining: 435s    
step 00070 (3.3%) | loss: 4.345632 | lrm: 1.00 | dt: 254ms | tok/sec: 1,031,991 | mfu: 40.4% | epoch: 1 | remaining: 435s    
step 00071 (3.4%) | loss: 4.324409 | lrm: 1.00 | dt: 252ms | tok/sec: 1,041,958 | mfu: 40.8% | epoch: 1 | remaining: 435s    
step 00072 (3.4%) | loss: 4.303674 | lrm: 1.00 | dt: 253ms | tok/sec: 1,036,320 | mfu: 40.6% | epoch: 1 | remaining: 434s    
step 00073 (3.5%) | loss: 4.283087 | lrm: 1.00 | dt: 255ms | tok/sec: 1,027,267 | mfu: 40.2% | epoch: 1 | remaining: 434s    
step 00074 (3.5%) | loss: 4.265141 | lrm: 1.00 | dt: 255ms | tok/sec: 1,026,956 | mfu: 40.2% | epoch: 1 | remaining: 434s    
step 00075 (3.6%) | loss: 4.245380 | lrm: 1.00 | dt: 250ms | tok/sec: 1,047,143 | mfu: 41.0% | epoch: 1 | remaining: 434s    
step 00076 (3.7%) | loss: 4.224825 | lrm: 1.00 | dt: 255ms | tok/sec: 1,028,718 | mfu: 40.3% | epoch: 1 | remaining: 433s    
step 00077 (3.7%) | loss: 4.206115 | lrm: 1.00 | dt: 253ms | tok/sec: 1,037,235 | mfu: 40.6% | epoch: 1 | remaining: 433s    
step 00078 (3.8%) | loss: 4.190451 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,142 | mfu: 40.7% | epoch: 1 | remaining: 433s    
step 00079 (3.8%) | loss: 4.173613 | lrm: 1.00 | dt: 255ms | tok/sec: 1,028,466 | mfu: 40.3% | epoch: 1 | remaining: 433s    
step 00080 (3.9%) | loss: 4.150635 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,981 | mfu: 40.7% | epoch: 1 | remaining: 432s    
step 00081 (3.9%) | loss: 4.129460 | lrm: 1.00 | dt: 254ms | tok/sec: 1,030,807 | mfu: 40.3% | epoch: 1 | remaining: 432s    
step 00082 (4.0%) | loss: 4.106629 | lrm: 1.00 | dt: 254ms | tok/sec: 1,034,046 | mfu: 40.5% | epoch: 1 | remaining: 432s    
step 00083 (4.1%) | loss: 4.087713 | lrm: 1.00 | dt: 253ms | tok/sec: 1,036,413 | mfu: 40.6% | epoch: 1 | remaining: 432s    
step 00084 (4.1%) | loss: 4.070258 | lrm: 1.00 | dt: 251ms | tok/sec: 1,043,900 | mfu: 40.9% | epoch: 1 | remaining: 431s    
step 00085 (4.2%) | loss: 4.054721 | lrm: 1.00 | dt: 256ms | tok/sec: 1,023,665 | mfu: 40.1% | epoch: 1 | remaining: 431s    
step 00086 (4.2%) | loss: 4.040007 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,351 | mfu: 40.4% | epoch: 1 | remaining: 431s    
step 00087 (4.3%) | loss: 4.023277 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,656 | mfu: 40.7% | epoch: 1 | remaining: 430s    
step 00088 (4.3%) | loss: 4.001452 | lrm: 1.00 | dt: 253ms | tok/sec: 1,035,568 | mfu: 40.5% | epoch: 1 | remaining: 430s    
step 00089 (4.4%) | loss: 3.986817 | lrm: 1.00 | dt: 254ms | tok/sec: 1,031,146 | mfu: 40.4% | epoch: 1 | remaining: 430s    
step 00090 (4.4%) | loss: 3.970070 | lrm: 1.00 | dt: 255ms | tok/sec: 1,028,593 | mfu: 40.3% | epoch: 1 | remaining: 430s    
step 00091 (4.5%) | loss: 3.956174 | lrm: 1.00 | dt: 252ms | tok/sec: 1,038,624 | mfu: 40.7% | epoch: 1 | remaining: 429s    
step 00092 (4.6%) | loss: 3.937564 | lrm: 1.00 | dt: 251ms | tok/sec: 1,045,734 | mfu: 40.9% | epoch: 1 | remaining: 429s    
step 00093 (4.6%) | loss: 3.923629 | lrm: 1.00 | dt: 253ms | tok/sec: 1,035,040 | mfu: 40.5% | epoch: 1 | remaining: 429s    
step 00094 (4.7%) | loss: 3.906286 | lrm: 1.00 | dt: 255ms | tok/sec: 1,028,718 | mfu: 40.3% | epoch: 1 | remaining: 429s    
step 00095 (4.7%) | loss: 3.882547 | lrm: 1.00 | dt: 251ms | tok/sec: 1,043,397 | mfu: 40.8% | epoch: 1 | remaining: 428s    
step 00096 (4.8%) | loss: 3.866902 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,071 | mfu: 40.4% | epoch: 1 | remaining: 428s    
step 00097 (4.8%) | loss: 3.858840 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,327 | mfu: 40.4% | epoch: 1 | remaining: 428s    
step 00098 (4.9%) | loss: 3.849385 | lrm: 1.00 | dt: 253ms | tok/sec: 1,037,999 | mfu: 40.6% | epoch: 1 | remaining: 428s    
step 00099 (5.0%) | loss: 3.836985 | lrm: 1.00 | dt: 251ms | tok/sec: 1,043,086 | mfu: 40.8% | epoch: 1 | remaining: 427s    
step 00100 (5.0%) | loss: 3.824092 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,093 | mfu: 40.4% | epoch: 1 | remaining: 427s    
step 00101 (5.1%) | loss: 3.809812 | lrm: 1.00 | dt: 254ms | tok/sec: 1,031,073 | mfu: 40.4% | epoch: 1 | remaining: 427s    
step 00102 (5.1%) | loss: 3.796701 | lrm: 1.00 | dt: 256ms | tok/sec: 1,025,612 | mfu: 40.1% | epoch: 1 | remaining: 427s    
step 00103 (5.2%) | loss: 3.786891 | lrm: 1.00 | dt: 253ms | tok/sec: 1,034,539 | mfu: 40.5% | epoch: 1 | remaining: 426s    
step 00104 (5.2%) | loss: 3.774887 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,954 | mfu: 40.4% | epoch: 1 | remaining: 426s    
step 00105 (5.3%) | loss: 3.762750 | lrm: 1.00 | dt: 255ms | tok/sec: 1,026,299 | mfu: 40.2% | epoch: 1 | remaining: 426s    
step 00106 (5.3%) | loss: 3.751875 | lrm: 1.00 | dt: 253ms | tok/sec: 1,036,459 | mfu: 40.6% | epoch: 1 | remaining: 426s    
step 00107 (5.4%) | loss: 3.744601 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,465 | mfu: 40.7% | epoch: 1 | remaining: 425s    
step 00108 (5.5%) | loss: 3.737983 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,558 | mfu: 40.4% | epoch: 1 | remaining: 425s    
step 00109 (5.5%) | loss: 3.730405 | lrm: 1.00 | dt: 254ms | tok/sec: 1,030,831 | mfu: 40.4% | epoch: 1 | remaining: 425s    
step 00110 (5.6%) | loss: 3.724142 | lrm: 1.00 | dt: 255ms | tok/sec: 1,027,628 | mfu: 40.2% | epoch: 1 | remaining: 425s    
step 00111 (5.6%) | loss: 3.713557 | lrm: 1.00 | dt: 251ms | tok/sec: 1,043,875 | mfu: 40.9% | epoch: 1 | remaining: 424s    
step 00112 (5.7%) | loss: 3.701489 | lrm: 1.00 | dt: 252ms | tok/sec: 1,039,160 | mfu: 40.7% | epoch: 1 | remaining: 424s    
step 00113 (5.7%) | loss: 3.696945 | lrm: 1.00 | dt: 254ms | tok/sec: 1,030,100 | mfu: 40.3% | epoch: 1 | remaining: 424s    
step 00114 (5.8%) | loss: 3.687855 | lrm: 1.00 | dt: 254ms | tok/sec: 1,032,351 | mfu: 40.4% | epoch: 1 | remaining: 424s    
step 00115 (5.9%) | loss: 3.679679 | lrm: 1.00 | dt: 252ms | tok/sec: 1,042,230 | mfu: 40.8% | epoch: 1 | remaining: 423s    
step 00116 (5.9%) | loss: 3.670298 | lrm: 1.00 | dt: 255ms | tok/sec: 1,028,580 | mfu: 40.3% | epoch: 1 | remaining: 423s    
step 00117 (6.0%) | loss: 3.660771 | lrm: 1.00 | dt: 256ms | tok/sec: 1,023,987 | mfu: 40.1% | epoch: 1 | remaining: 423s    
step 00118 (6.0%) | loss: 3.654826 | lrm: 1.00 | dt: 255ms | tok/sec: 1,026,157 | mfu: 40.2% | epoch: 1 | remaining: 423s    
step 00119 (6.1%) | loss: 3.651250 | lrm: 1.00 | dt: 252ms | tok/sec: 1,040,313 | mfu: 40.7% | epoch: 1 | remaining: 422s    
step 00120 (6.1%) | loss: 3.641759 | lrm: 1.00 | dt: 256ms | tok/sec: 1,025,377 | mfu: 40.1% | epoch: 1 | remaining: 422s    
step 00121 (6.2%) | loss: 3.636095 | lrm: 1.00 | dt: 255ms | tok/sec: 1,027,873 | mfu: 40.2% | epoch: 1 | remaining: 422s    
step 00122 (6.3%) | loss: 3.629668 | lrm: 1.00 | dt: 251ms | tok/sec: 1,045,171 | mfu: 40.9% | epoch: 1 | remaining: 422s    
step 00123 (6.3%) | loss: 3.622312 | lrm: 1.00 | dt: 251ms | tok/sec: 1,044,083 | mfu: 40.9% | epoch: 1 | remaining: 421s    
