Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 37,748,736
  lm_head                 : 6,291,456
  transformer_matrices    : 198,182,016
  scalars                 : 24
  total                   : 248,513,688
Estimated FLOPs per token: 1.304698e+09
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 1200s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011059 | lrm: 1.00 | dt: 10302ms | tok/sec: 25,446 | mfu: 3.4% | epoch: 1 | remaining: 1200s    
step 00001 (0.1%) | loss: 9.225107 | lrm: 1.00 | dt: 714ms | tok/sec: 367,348 | mfu: 48.4% | epoch: 1 | remaining: 1200s    
step 00002 (0.1%) | loss: 9.015347 | lrm: 1.00 | dt: 745ms | tok/sec: 351,910 | mfu: 46.4% | epoch: 1 | remaining: 1200s    
step 00003 (0.2%) | loss: 8.599188 | lrm: 1.00 | dt: 738ms | tok/sec: 355,259 | mfu: 46.8% | epoch: 1 | remaining: 1200s    
step 00004 (0.2%) | loss: 8.156565 | lrm: 1.00 | dt: 735ms | tok/sec: 356,766 | mfu: 47.0% | epoch: 1 | remaining: 1200s    
step 00005 (0.3%) | loss: 7.803615 | lrm: 1.00 | dt: 734ms | tok/sec: 357,139 | mfu: 47.1% | epoch: 1 | remaining: 1200s    
step 00006 (0.3%) | loss: 7.499400 | lrm: 1.00 | dt: 740ms | tok/sec: 354,044 | mfu: 46.7% | epoch: 1 | remaining: 1200s    
step 00007 (0.4%) | loss: 7.248910 | lrm: 1.00 | dt: 739ms | tok/sec: 354,652 | mfu: 46.8% | epoch: 1 | remaining: 1200s    
step 00008 (0.4%) | loss: 7.033448 | lrm: 1.00 | dt: 730ms | tok/sec: 359,160 | mfu: 47.4% | epoch: 1 | remaining: 1200s    
step 00009 (0.5%) | loss: 6.846090 | lrm: 1.00 | dt: 732ms | tok/sec: 357,973 | mfu: 47.2% | epoch: 1 | remaining: 1200s    
step 00010 (0.6%) | loss: 6.693722 | lrm: 1.00 | dt: 740ms | tok/sec: 354,112 | mfu: 46.7% | epoch: 1 | remaining: 1200s    
step 00011 (0.6%) | loss: 6.553266 | lrm: 1.00 | dt: 738ms | tok/sec: 355,067 | mfu: 46.8% | epoch: 1 | remaining: 1199s    
step 00012 (0.7%) | loss: 6.426588 | lrm: 1.00 | dt: 741ms | tok/sec: 353,741 | mfu: 46.6% | epoch: 1 | remaining: 1199s    
step 00013 (0.7%) | loss: 6.326165 | lrm: 1.00 | dt: 738ms | tok/sec: 355,071 | mfu: 46.8% | epoch: 1 | remaining: 1198s    
step 00014 (0.8%) | loss: 6.233682 | lrm: 1.00 | dt: 739ms | tok/sec: 354,828 | mfu: 46.8% | epoch: 1 | remaining: 1197s    
step 00015 (0.8%) | loss: 6.152056 | lrm: 1.00 | dt: 739ms | tok/sec: 354,783 | mfu: 46.8% | epoch: 1 | remaining: 1196s    
step 00016 (0.9%) | loss: 6.086295 | lrm: 1.00 | dt: 733ms | tok/sec: 357,681 | mfu: 47.2% | epoch: 1 | remaining: 1196s    
step 00017 (0.9%) | loss: 6.021246 | lrm: 1.00 | dt: 737ms | tok/sec: 355,469 | mfu: 46.9% | epoch: 1 | remaining: 1195s    
step 00018 (1.0%) | loss: 5.954518 | lrm: 1.00 | dt: 738ms | tok/sec: 355,026 | mfu: 46.8% | epoch: 1 | remaining: 1194s    
step 00019 (1.1%) | loss: 5.896301 | lrm: 1.00 | dt: 738ms | tok/sec: 355,392 | mfu: 46.9% | epoch: 1 | remaining: 1193s    
step 00020 (1.1%) | loss: 5.847849 | lrm: 1.00 | dt: 740ms | tok/sec: 354,223 | mfu: 46.7% | epoch: 1 | remaining: 1193s    
step 00021 (1.2%) | loss: 5.798706 | lrm: 1.00 | dt: 738ms | tok/sec: 355,227 | mfu: 46.8% | epoch: 1 | remaining: 1192s    
step 00022 (1.2%) | loss: 5.759205 | lrm: 1.00 | dt: 741ms | tok/sec: 353,904 | mfu: 46.7% | epoch: 1 | remaining: 1191s    
step 00023 (1.3%) | loss: 5.719924 | lrm: 1.00 | dt: 741ms | tok/sec: 353,546 | mfu: 46.6% | epoch: 1 | remaining: 1190s    
step 00024 (1.3%) | loss: 5.690337 | lrm: 1.00 | dt: 740ms | tok/sec: 354,165 | mfu: 46.7% | epoch: 1 | remaining: 1190s    
step 00025 (1.4%) | loss: 5.653531 | lrm: 1.00 | dt: 736ms | tok/sec: 356,031 | mfu: 46.9% | epoch: 1 | remaining: 1189s    
step 00026 (1.4%) | loss: 5.623113 | lrm: 1.00 | dt: 742ms | tok/sec: 353,072 | mfu: 46.6% | epoch: 1 | remaining: 1188s    
step 00027 (1.5%) | loss: 5.594803 | lrm: 1.00 | dt: 740ms | tok/sec: 354,193 | mfu: 46.7% | epoch: 1 | remaining: 1187s    
step 00028 (1.6%) | loss: 5.571235 | lrm: 1.00 | dt: 739ms | tok/sec: 354,492 | mfu: 46.7% | epoch: 1 | remaining: 1187s    
step 00029 (1.6%) | loss: 5.546733 | lrm: 1.00 | dt: 741ms | tok/sec: 353,805 | mfu: 46.7% | epoch: 1 | remaining: 1186s    
step 00030 (1.7%) | loss: 5.522214 | lrm: 1.00 | dt: 739ms | tok/sec: 354,725 | mfu: 46.8% | epoch: 1 | remaining: 1185s    
step 00031 (1.7%) | loss: 5.498892 | lrm: 1.00 | dt: 741ms | tok/sec: 354,006 | mfu: 46.7% | epoch: 1 | remaining: 1184s    
step 00032 (1.8%) | loss: 5.475208 | lrm: 1.00 | dt: 741ms | tok/sec: 353,861 | mfu: 46.7% | epoch: 1 | remaining: 1184s    
step 00033 (1.8%) | loss: 5.459829 | lrm: 1.00 | dt: 741ms | tok/sec: 353,706 | mfu: 46.6% | epoch: 1 | remaining: 1183s    
step 00034 (1.9%) | loss: 5.439654 | lrm: 1.00 | dt: 743ms | tok/sec: 352,645 | mfu: 46.5% | epoch: 1 | remaining: 1182s    
step 00035 (1.9%) | loss: 5.421236 | lrm: 1.00 | dt: 736ms | tok/sec: 356,342 | mfu: 47.0% | epoch: 1 | remaining: 1182s    
step 00036 (2.0%) | loss: 5.404325 | lrm: 1.00 | dt: 740ms | tok/sec: 354,098 | mfu: 46.7% | epoch: 1 | remaining: 1181s    
step 00037 (2.1%) | loss: 5.389963 | lrm: 1.00 | dt: 741ms | tok/sec: 353,821 | mfu: 46.7% | epoch: 1 | remaining: 1180s    
step 00038 (2.1%) | loss: 5.374523 | lrm: 1.00 | dt: 742ms | tok/sec: 353,281 | mfu: 46.6% | epoch: 1 | remaining: 1179s    
step 00039 (2.2%) | loss: 5.357945 | lrm: 1.00 | dt: 737ms | tok/sec: 355,554 | mfu: 46.9% | epoch: 1 | remaining: 1179s    
step 00040 (2.2%) | loss: 5.339070 | lrm: 1.00 | dt: 742ms | tok/sec: 353,263 | mfu: 46.6% | epoch: 1 | remaining: 1178s    
step 00041 (2.3%) | loss: 5.319227 | lrm: 1.00 | dt: 741ms | tok/sec: 353,953 | mfu: 46.7% | epoch: 1 | remaining: 1177s    
step 00042 (2.3%) | loss: 5.299941 | lrm: 1.00 | dt: 737ms | tok/sec: 355,908 | mfu: 46.9% | epoch: 1 | remaining: 1176s    
step 00043 (2.4%) | loss: 5.276857 | lrm: 1.00 | dt: 746ms | tok/sec: 351,607 | mfu: 46.4% | epoch: 1 | remaining: 1176s    
step 00044 (2.4%) | loss: 5.254772 | lrm: 1.00 | dt: 743ms | tok/sec: 352,753 | mfu: 46.5% | epoch: 1 | remaining: 1175s    
step 00045 (2.5%) | loss: 5.239910 | lrm: 1.00 | dt: 735ms | tok/sec: 356,453 | mfu: 47.0% | epoch: 1 | remaining: 1174s    
step 00046 (2.6%) | loss: 5.222445 | lrm: 1.00 | dt: 741ms | tok/sec: 353,585 | mfu: 46.6% | epoch: 1 | remaining: 1173s    
step 00047 (2.6%) | loss: 5.201798 | lrm: 1.00 | dt: 743ms | tok/sec: 352,791 | mfu: 46.5% | epoch: 1 | remaining: 1173s    
step 00048 (2.7%) | loss: 5.180649 | lrm: 1.00 | dt: 745ms | tok/sec: 351,710 | mfu: 46.4% | epoch: 1 | remaining: 1172s    
step 00049 (2.7%) | loss: 5.164185 | lrm: 1.00 | dt: 748ms | tok/sec: 350,309 | mfu: 46.2% | epoch: 1 | remaining: 1171s    
step 00050 (2.8%) | loss: 5.150207 | lrm: 1.00 | dt: 741ms | tok/sec: 353,967 | mfu: 46.7% | epoch: 1 | remaining: 1170s    
step 00051 (2.8%) | loss: 5.125743 | lrm: 1.00 | dt: 744ms | tok/sec: 352,108 | mfu: 46.4% | epoch: 1 | remaining: 1170s    
step 00052 (2.9%) | loss: 5.106490 | lrm: 1.00 | dt: 737ms | tok/sec: 355,697 | mfu: 46.9% | epoch: 1 | remaining: 1169s    
step 00053 (2.9%) | loss: 5.083503 | lrm: 1.00 | dt: 746ms | tok/sec: 351,370 | mfu: 46.3% | epoch: 1 | remaining: 1168s    
step 00054 (3.0%) | loss: 5.061458 | lrm: 1.00 | dt: 747ms | tok/sec: 350,736 | mfu: 46.2% | epoch: 1 | remaining: 1167s    
step 00055 (3.1%) | loss: 5.041120 | lrm: 1.00 | dt: 744ms | tok/sec: 352,441 | mfu: 46.5% | epoch: 1 | remaining: 1167s    
step 00056 (3.1%) | loss: 5.027258 | lrm: 1.00 | dt: 739ms | tok/sec: 354,852 | mfu: 46.8% | epoch: 1 | remaining: 1166s    
step 00057 (3.2%) | loss: 5.012714 | lrm: 1.00 | dt: 744ms | tok/sec: 352,539 | mfu: 46.5% | epoch: 1 | remaining: 1165s    
step 00058 (3.2%) | loss: 4.989779 | lrm: 1.00 | dt: 746ms | tok/sec: 351,168 | mfu: 46.3% | epoch: 1 | remaining: 1164s    
step 00059 (3.3%) | loss: 4.966970 | lrm: 1.00 | dt: 748ms | tok/sec: 350,621 | mfu: 46.2% | epoch: 1 | remaining: 1164s    
